year,coca production (ha),erradication (ha),europe cocaine wholesale prices (US$ per kg inflation adjusted to 20xx euros and purity adjusted),agriculture/livestock price index (2004-2006 $),unemployment,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,antioquia,arauca,bolivar,boyaca,caldas,caqueta,cauca,cesar,choco,cordoba,cundinamarca,guainia,guaviare,guajira,magdalena,meta,narino,nortedesantander,putumayo,santander,valledelcauca,vaupes,vichada
2005,3670,6443.00,$47.66,98.82,0.101,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,342,925.00,$47.66,98.82,0.093,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,189,1090.00,$47.66,98.82,0.141,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,4988,5452.00,$47.66,98.82,0.067,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,2705,3292.00,$47.66,98.82,0.096,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,0,0.00,$47.66,98.82,0.067,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,1025,425.00,$47.66,98.82,0.101,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,3136,1767.00,$47.66,98.82,0.124,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,56,43.00,$47.66,98.82,0.106,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2005,752,0.00,$47.66,98.82,0.118,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2005,8658,11865.00,$47.66,98.82,0.118,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2005,329,572.00,$47.66,98.82,0.057,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
